对话内容,真实意图
同学约周末逛街：“周末去逛步行街不？” 回复：“周末我可能要在家补觉呢”,实则不想去逛街，补觉只是借口，无明确补觉计划
熟人约聚餐：“今晚一起去吃火锅不？” 回复：“我最近不太想吃太辣的”,实则不想去聚餐，以“不吃辣”为软性推脱理由
同学找帮忙占座：“明天早八能帮我占个座不？” 回复：“我明天可能也去得挺晚的”,实则不想帮忙占座，借口自己到得晚，无法帮忙
朋友约看电影：“新上映的电影一起去看不？” 回复：“我这段时间有点忙，没时间看电影”,实则不想去看电影，“忙”是模糊借口，无具体忙碌事项
熟人借雨伞：“外面下雨了，能借你雨伞用一下不？” 回复：“我等下也要出去，得用雨伞”,实则不想借雨伞，借口自己要用，避免直接拒绝
和朋友一起看书，说：“我手机快没电了，没地方充电”,暗示希望朋友能借自己充电器，或告知充电地点
和同学一起自习，说：“我笔好像写不出字了”,暗示希望同学能借自己一支笔应急
和室友一起待在宿舍，说：“我有点饿了，但是不想动”,暗示希望室友帮忙带吃的，或一起点外卖
和朋友散步，说：“这天也太热了，口干舌燥的”,暗示希望朋友能一起买水，或对方主动买水
和熟人一起坐公交，说：“我好像没带零钱，手机也没网”,暗示希望熟人能先帮自己付一下公交费
和室友聊天，说：“下周要交作业了，我还一点没写”,暗示希望室友分享作业思路，或提醒自己重点
朋友频繁打断自己说话，说：“我还没说完呢”,实则不满朋友打断自己，希望对方能耐心听自己说完
室友经常忘记关灯，说：“灯亮了一晚上，太浪费电了”,实则不满室友粗心忘关灯，希望对方以后注意
同学借了文具迟迟不还，说：“我最近也要用那个文具，找了好几天了”,实则不满同学借物不还，暗示对方尽快归还
朋友总在自己学习时找自己聊天，说：“我这道题卡了好久，一直没思路”,实则不满朋友打扰自己学习，暗示对方不要再来打扰
熟人约自己时总临时改时间，说：“我每次都按原时间准备好，结果又改了”,实则不满熟人临时改时间、不讲规划，希望对方提前告知
朋友借自己的书，还回来时封面折了，说：“我之前一直把这本书放得很小心”,实则不满朋友不爱护自己的书，希望对方以后借东西能爱惜
朋友约周末逛街：“我那天还不一定几点能忙完，怕让你等太久。”,别等我了，我大概率不去。
熟人想借会员账号：“我也好久没登了，都不记得密码改没改，我找找看哈。”,不太想借，希望你等不到回复就此作罢。
同学提议去某餐厅：“那家人好像一直挺多的，可能得排好久队。”,我不想去那家店，换一个或者干脆别去了。
朋友借充电宝：“我这个也只剩一格电了，不知道能不能充进去。”,我不想借给你，我也要用/怕你给我用完了。
别人发来长篇语音/文档求助：“我现在外面信号不太好，等我回去看一眼哈。”,现在不想处理这件事，甚至想冷处理。
在朋友家看到零食：“这个牌子的薯片，我上次在超市找了好久都没看到。”,我想吃，如果你能分我一点就太好了。
室友一直在刷视频：“隔壁好像已经休息了，咱们这屋隔音一般。”,你声音太大了，请戴上耳机或关小声。
和朋友在外面走路：“这附近好像没什么遮阴的地方，太阳真大。”,我累了/怕晒，找个室内地方坐坐吧。
看到对方在用新相机：“你这相机拍出来的质感确实不一样，色彩真好看。”,帮我拍几张照片。
发现对方还没还钱：“最近开销有点大，感觉还没到月底兜里就空了。”,提醒对方该还钱了，我最近缺钱。
对方承诺的事没办成：“没事，我刚才已经自己想办法弄好了。”,对你很失望，觉得你靠不住。
朋友在聚会中一直玩手机：“你这手机内存挺大啊，这么多消息回不完。”,觉得被冷落了，不满对方在社交场合只顾玩手机。
对方提出一个不合理的方案：“你这个想法确实挺特别的，一般人可能干不出来。”,觉得你的方案很离谱/很烂。
对方推迟见面时间：“没事，正好我把手头这几章书都看完了。”,强调我已经等了很久，表达对你磨蹭的不满。
别人擅自动了自己的东西：“这东西你用着还顺手吗？看你拿得挺自然的。”,这是我的东西，你没打招呼就动，我很不爽。
朋友约周末出游：“我这周末好像有点忙，还没定具体安排。”,其实不想去，但不明说。
同学借课堂笔记：“我上次记得有点乱，怕你看不清。”,其实不想借出笔记。
熟人让帮忙代购：“我这次去那边时间挺赶的，可能没空逛。”,其实不想帮忙代购。
同事邀请下班聚餐：“今天有点累，想早点回去休息。”,其实不想参加聚餐。
朋友借钱周转：“我最近手头也比较紧，还在还房贷。”,其实不想借钱。
合租室友在客厅说：“好像垃圾袋快用完了。”,暗示该轮到对方买垃圾袋了。
看到朋友吃零食：“你这个闻起来好香啊。”,暗示想尝尝对方的零食。
家人晚上在家说：“电视机遥控器好像没电了。”,暗示希望有人去换电池。
同事在办公室说：“我手机快没电了，充电宝好像也没带。”,暗示想借充电宝或充电线。
朋友聊天时提到：“最近新上的那部电影评分好像挺高的。”,暗示想约对方一起看电影。
等人等了很久后说：“我还以为我记错时间了。”,不满对方迟到太久。
室友用完厨房没收拾：“厨房台面好像有点油。”,不满对方不清理厨房。
同事反复问已交代过的事：“这个事我上次好像说过一遍了。”,不满对方没认真听或忘记。
朋友答应的事没做：“我前几天还想着那个事来着。”,不满对方没履行承诺。
对方说话打断自己：“我刚刚话还没说完……”,不满对方插话不礼貌。
朋友问周末一起爬山吗，回复：“最近这两天状态不太行。”,不想去，并非真的身体不适
同学约帮忙改简历，回复：“我这几天事情有点挤。”,不想接这个忙
朋友临时约夜宵，回复：“我刚吃完，撑着呢。”,不想再出门
同事问能不能代班，回复：“那天我可能得早点回家。”,不想代班
熟人想视频聊天，回复：“我现在环境有点吵。”,不想聊天
室友看着垃圾桶说：“这袋好像已经满了。”,暗示对方倒垃圾
朋友聚餐后说：“今天AA的话我手机快没电了。”,暗示希望对方先垫钱
同事加班时说：“这份表一个人做还挺慢的。”,暗示希望有人帮忙
朋友一起看电影，说：“我坐这儿有点看不清字幕。”,暗示希望换位置
室友看着灯说：“这灯开一整晚还挺亮的。”,暗示希望关灯
