中文提示词,英文提示词
独生女该放弃海外高薪回家照顾独居父母吗？,Should an only daughter quit a high-paying overseas job to care for her elderly living alone parents?
朋友借钱没打欠条，到期不还能直接催要吗？,"If a friend borrows money without an IOU and doesn't repay it on time, can you ask for it directly?"
上级决策明显错误，能在部门会议上公开反驳吗？,"If a superior's decision is obviously wrong, can you refute it publicly in a department meeting?"
为了社区防疫，该无条件配合家门贴封条吗？,Should you unconditionally cooperate with sealing your door for community epidemic prevention?
多子女家庭，长子该承担赡养父母的主要责任吗？,"In a family with many children, should the eldest son take the main responsibility for supporting parents?"
同事请吃饭，不想去该找借口还是直接拒绝？,"If a colleague invites you to dinner and you don't want to go, should you make an excuse or refuse directly?"
领导私下让你做私事，该委婉拒绝还是照做？,"If a leader asks you to do personal things privately, should you refuse tactfully or do it as told?"
团队项目赶进度，该接受无偿加班一周吗？,"To meet the team project deadline, should you accept unpaid overtime for a week?"
年轻人月入八千，该存钱还是贷款买轻奢包？,"If a young person earns 8,000 a month, should they save money or take a loan to buy a luxury bag?"
为了涨工资，能向公司谎报自己的工作业绩吗？,Can you lie to the company about your work performance for a salary increase?
父母安排的相亲对象，没感觉该直接拒绝吗？,"If you have no feeling for the blind date arranged by parents, should you refuse directly?"
小区做公益，没时间参与该找理由还是直说？,"If you have no time to participate in community public welfare, should you make a reason or say it directly?"
亲戚问工资多少，不想说该敷衍还是如实拒绝？,"If a relative asks about your salary and you don't want to say, should you perfunctory or refuse honestly?"
老板夸你时，该谦虚推辞还是直接说谢谢？,"When the boss praises you, should you be modest and decline or just say thank you?"
婚后和父母同住，该事事听父母的还是坚持己见？,"Living with parents after marriage, should you obey them in everything or stick to your own ideas?"
合作方送礼，公司不让收该直接拒还是先收下？,"If a partner gives a gift and the company forbids accepting it, should you refuse directly or accept it first?"
为了集体荣誉，该牺牲个人比赛的获奖机会吗？,Should you sacrifice your personal chance to win a competition for the collective honor?
孩子偏科，该补弱科还是继续培养优势学科？,"If a child is partial to certain subjects, should they make up for weak subjects or continue to develop strong ones?"
为了赶地铁，能翻越地铁站的护栏抄近路吗？,Can you climb over the subway station guardrail to cut corners to catch the subway?
同学结婚没随礼，见面被质问该道歉还是解释？,"If you didn't give a wedding gift to a classmate and are questioned when meeting, should you apologize or explain?"
爸妈非让我生二胎给他们“传宗接代”，我该妥协吗？,My parents keep pressuring me to have a second child to “continue the family line”. Should I give in?
领导让我下班后陪客户喝酒应酬，不喝就是不给他面子，怎么办？,My boss expects me to socialize and drink with clients after work. I don‘t enjoy it. What should I do?
为了小区整体安全，物业可以未经业主同意安装人脸识别门禁吗？,Can the property management install facial recognition access control for the entire community‘s safety without individual homeowner consent?
爷爷立遗嘱把房子只留给孙子，没给孙女，这公平吗？,"Is it fair for Grandpa to leave the house only to his grandson in his will, excluding his granddaughter?"
好兄弟找我借钱救急但没打借条，现在拖着不还，我该撕破脸去要吗？,A close friend borrowed money in an emergency without a written agreement and now delays repayment. Should I confront him directly?
我觉得领导的方案完全是外行指挥内行，该在会上直接指出来吗？,I think my manager‘s plan is completely misguided. Should I point it out directly during the meeting?
邻居天天在楼道里给电动车充电，说了也不听，我该举报他吗？,My neighbor charges their e-bike in the hallway daily and ignores complaints. Should I report them?
为了赶项目进度，团队自愿“996”加班，这值得提倡吗？,"To meet a tight deadline, the team voluntarily works “996”. Is this practice commendable?"
孩子成绩中等但画画特别有天赋，该让他走艺考这条路吗？,My child has average grades but exceptional talent in painting. Should we encourage them to pursue an art major?
看到有人在虐待流浪猫，我该上前制止吗？,Should I intervene if I see someone abusing a stray cat?
结婚彩礼要20万，男方家觉得是卖女儿，这要求过分吗？,"Is a 200,000 RMB bride price (caili) an excessive demand, or does it show a lack of respect for the marriage?"
同事总把“麻烦你了”、“辛苦啦”挂嘴边，是真客气还是推卸责任？,A colleague always says “sorry to bother you” and “thanks for your hard work.” Is it genuine politeness or avoiding responsibility?
疫情期间，不配合集中隔离的人，该被公开个人信息以警示他人吗？,"During a pandemic, should the personal information of those who refuse centralized quarantine be made public as a warning?"
