词句,解读内容（①字面意思 ②核心意象隐喻 ③作者情感/思想）
唐诗·刘长卿《送灵澈上人》荷笠带斜阳，青山独归远,①字面意思：斗笠映着夕阳的余晖，（灵澈上人）独自向着青山深处渐行渐远。②核心意象隐喻：“荷笠”是僧人云游的标志性装扮，隐喻清净脱俗、不恋尘嚣的修行者身份；“斜阳”非单纯自然光影，既烘托离别时的淡远氛围，也暗合隐逸生活的宁静落寞；“青山”象征远离世俗官场、清幽自在的隐逸之境，是高洁情怀的具象化。③作者情感思想：表面描写送别灵澈上人的场景，实则借景物抒发自身对隐逸生活的向往，暗含对世俗纷扰的疏离，以及不事张扬、坚守本心的高洁追求，情感淡而有味，藏而不露。
唐诗·韦应物《秋夜寄邱二十二员外》空山松子落，幽人应未眠,①字面意思：空寂的山中，松子轻轻飘落，发出细微声响，想来那位幽居的友人应该还没有入眠。②核心意象隐喻：“空山”以空静无扰的环境，隐喻远离尘嚣、淡泊名利的隐逸之地；“松子落”以极细微的声响反衬夜之深沉、心之宁静，暗合幽人淡泊寡欲的心境；“幽人”特指隐居不仕、心性清净的友人，也暗喻作者自身的精神追求。③作者情感思想：不直抒对友人的思念，而是借空山静夜的景物推想友人未眠，将深沉内敛的知己之思藏于景中，同时表达对友人隐逸生活的认同，以及自身对淡泊心境的追求。
唐诗·储光羲《钓鱼湾》潭清疑水浅，荷动知鱼散,①字面意思：潭水澄澈见底，让人不禁怀疑水势很浅；荷叶轻轻晃动，才知晓水中的鱼儿已经四散游走。②核心意象隐喻：“潭清”既写自然水色的澄澈，也隐喻作者心境的清明纯净、不藏尘杂；“荷动鱼散”以细微的动静变化，隐喻心神的敏锐通透，以及与自然相融的自在状态，“荷”也暗含高洁之意，“鱼”象征自由无拘。③作者情感思想：表面描写水边闲望的闲适之景，实则抒发隐居田园时的悠然自得与静心，体现物我相融、淡泊自在的人生状态，极易被模型误读为单纯写景，忽略背后的隐逸情怀。
唐诗·司空曙《喜外弟卢纶见宿》雨中黄叶树，灯下白头人,①字面意思：秋雨之中，满树的黄叶纷纷飘落；一盏孤灯之下，坐着满头白发的我。②核心意象隐喻：“黄叶树”象征生命的衰老、光景的凋零，也暗喻身世的飘零与境遇的凄凉；“雨”烘托萧瑟悲凉的氛围，隐喻人生的困顿与失意；“灯”是孤夜相伴之物，反衬独处的孤独；“白头人”自喻年华老去、半生潦倒的境遇。③作者情感思想：以凄凉的秋夜之景衬情，不直言悲苦，却将晚年孤寂、身世飘零、知己难逢的悲凉藏于每一处景物之中，是典型的“以景衬情、藏悲于景”，情感内敛深沉。
唐诗·钱起《谷口书斋寄杨补阙》竹怜新雨后，山爱夕阳时,①字面意思：竹子最惹人怜爱，是在刚刚下过雨之后；山峦最让人喜爱，是在夕阳西下的时分。②核心意象隐喻：“新雨”象征洁净、清新，既洗去竹上尘埃，也隐喻心灵的澄澈与超脱；“竹”是古典文学中高洁、坚贞的经典意象，此处暗喻作者自身的高洁品格；“夕阳”非单纯写景，烘托宁静淡远的氛围，隐喻隐逸生活的悠然与平和；“山”象征远离尘嚣的隐逸之境。③作者情感思想：表面赞美雨后新竹与夕阳远山的美景，实则借景物抒发对隐逸生活的热爱与向往，表达自身不慕荣华、坚守高洁、追求心灵宁静的思想，情感含蓄，不直抒胸臆。
唐诗·郎士元《柏林寺南望》青山霁后云犹在，画出西南四五峰,①字面意思：青山在雨后放晴，残留的云雾依然缭绕山间，（云雾与青山相伴）就像画出了西南方向的四五座山峰。②核心意象隐喻：“霁后青山”象征历经风雨后的澄澈与安宁，暗喻作者心境的平复与超脱；“云犹在”以云雾的缥缈灵动，隐喻隐逸生活的悠然自在，也暗含一丝朦胧的怅惘；“画”将自然之景比作画作，既赞美景色，也隐喻作者对自然的热爱与精神的寄托。③作者情感思想：表面描绘雨后青山云雾的秀丽景色，实则抒发对自然山水的热爱，暗含对隐逸生活的向往，以及历经世事沧桑后，追求心境安宁、超脱世俗的思想，藏有“景中藏情、情随景生”的潜台词。
唐诗·李端《听筝》欲得周郎顾，时时误拂弦,①字面意思：想要得到像周瑜那样懂音律的人的关注，便常常故意拂错琴弦。②核心意象隐喻：“周郎”代指懂音律、有才华的知己，也隐喻作者心中所期盼的赏识者；“拂弦”是弹筝的动作，“误拂弦”并非真的失误，而是刻意为之的小举动，隐喻含蓄的期盼与不甘寂寞的心境；“筝”作为乐器，象征情感的寄托，其声音的婉转暗合情感的细腻。③作者情感思想：表面描写弹筝女子的微妙心思，实则借弹筝之事，抒发自身怀才不遇、渴望被赏识的心境，以及含蓄内敛的人生期盼，极易被模型误读为单纯描写女子情态，忽略背后的抒怀之意。
唐诗·王建《十五夜望月》中庭地白树栖鸦，冷露无声湿桂花,①字面意思：庭院中央的地面被月光照得洁白如霜，乌鸦栖息在树上；清冷的露水无声无息地打湿了庭院中的桂花。②核心意象隐喻：“地白”以月光的皎洁，隐喻思念的纯净与绵长，也烘托孤寂清冷的氛围；“鸦”在古典文学中常与孤寂、乡愁相关，此处隐喻孤独无依的心境；“冷露”象征清冷的孤寂，也暗喻思念的凄苦；“桂花”象征美好与团圆，反衬团圆难再的怅惘。③作者情感思想：表面描写中秋之夜的清冷景色，实则借景抒发深沉的思乡之情与团圆之盼，情感内敛，不直写“思”与“盼”，却将乡愁藏于每一处清冷之景中，哀而不伤。
唐诗·张籍《秋居》闭户著书多岁月，种松皆老作龙鳞,①字面意思：关起门来著书立说，度过了许多岁月；当年种下的松树，如今都已苍老，树皮长成了龙鳞的模样。②核心意象隐喻：“闭户著书”隐喻远离世俗喧嚣、潜心治学的坚守，也暗含怀才不遇后的避世；“岁月”以时光的流逝，隐喻坚守的执着与不易；“松”是高洁、坚贞、长寿的象征，“老松龙鳞”既写松树的苍老，也隐喻作者自身历经岁月磨砺后，依然坚守本心、不改高洁的品格。③作者情感思想：表面描写闭门著书、松树苍老的场景，实则抒发潜心治学的执着，以及不慕荣华、坚守本心、不与世俗同流合污的思想，暗含对自身境遇的淡然与对高洁品格的坚守。
唐诗·孟郊《秋怀》秋声万户竹，寒色五陵松,①字面意思：秋风掠过万户人家的竹林，发出萧瑟的声响；五陵一带的松树，笼罩在清冷的寒意之中。②核心意象隐喻：“秋声”象征秋日的萧瑟与生命的凋零，也隐喻人生的失意与悲凉；“竹”虽常喻高洁，但此处与“秋声”相伴，暗喻高洁品格在困境中的坚守与孤寂；“寒色”象征清冷的境遇与悲凉的心境；“松”象征坚贞不屈，“五陵松”暗喻昔日的繁华与今日的清冷，暗含世事变迁的感慨。③作者情感思想：借秋日竹林与五陵寒松的萧瑟之景，抒发自身怀才不遇、身世飘零的悲凉，以及在困境中依然坚守坚贞品格的执着，同时暗含对世事变迁、繁华易逝的感慨。
